Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2026-06-19 09:55,Lcore,7557.25,11,415910,-274.89,-0.07,13.64,350.68,0.08,-268.07,-0.06,-275.51,-0.28,28
1,Entry long,2026-06-19 07:35,L,7562,11,415910,-274.89,-0.07,13.64,350.68,0.08,-268.07,-0.06,-275.51,-0.28,28
2,Exit long,2026-06-19 09:55,Lrun,7557.25,1,37810,-24.99,-0.07,1.24,31.88,0.08,-24.37,-0.06,-299.88,-0.30,28
2,Entry long,2026-06-19 07:35,L,7562,1,37810,-24.99,-0.07,1.24,31.88,0.08,-24.37,-0.06,-299.88,-0.30,28
3,Exit short,2026-06-24 07:40,Score,7472.75,3,111881.25,-213.72,-0.19,3.72,16.89,0.02,-223.11,-0.20,-514.22,-0.51,1
3,Entry short,2026-06-24 07:35,S,7458.75,3,111881.25,-213.72,-0.19,3.72,16.89,0.02,-223.11,-0.20,-514.22,-0.51,1
4,Exit short,2026-06-24 07:40,Srun,7472.75,1,37293.75,-71.24,-0.19,1.24,5.63,0.02,-74.37,-0.20,-584.84,-0.58,1
4,Entry short,2026-06-24 07:35,S,7458.75,1,37293.75,-71.24,-0.19,1.24,5.63,0.02,-74.37,-0.20,-584.84,-0.58,1
5,Exit short,2026-06-26 08:25,Score,7433,2,74152.5,-179.98,-0.24,2.48,61.26,0.08,-178.74,-0.24,-765.44,-0.77,10
5,Entry short,2026-06-26 07:35,S,7415.25,2,74152.5,-179.98,-0.24,2.48,61.26,0.08,-178.74,-0.24,-765.44,-0.77,10
6,Exit short,2026-06-26 08:25,Srun,7433,1,37076.25,-89.99,-0.24,1.24,30.63,0.08,-89.37,-0.24,-854.81,-0.85,10
6,Entry short,2026-06-26 07:35,S,7415.25,1,37076.25,-89.99,-0.24,1.24,30.63,0.08,-89.37,-0.24,-854.81,-0.85,10
